Relatório de contas a receber em aberto
Panificadora São Jorge LTDA - CNPJ 00.000.000/0001-00
Emitido em 10/08/2026 - Período: 01/05/2026 a 10/08/2026

Cliente;Telefone;Documento;Data de Vencimento;Saldo Devedor
MERCADO DA ESQUINA LTDA;(11) 98765-4321;NF 4021;28/05/2026;1.842,90
MERCADO DA ESQUINA LTDA;(11) 98765-4321;NF 4110;30/06/2026;930,00
MERCADO DA ESQUINA LTDA;(11) 98765-4321;NF 4188;25/07/2026;1.204,50
MERCADO DA ESQUINA LTDA;(11) 98765-4321;NF 4233;08/08/2026;415,00
Padaria Vista Alegre ME;(21) 99614-2288;NF 4190;27/07/2026;"2,380.00"
Cafeteria Grão Fino;21996142288;NF 4201;2026-08-03;660,00
RESTAURANTE "DOIS IRMÃOS" LTDA;(31) 3222-7788;NF 4155;10/07/2026;3.100,00
Bistrô da Ana;(41) 99120-3344;NF 4240;10/08/2026;540,00
Hotel Serra Azul;(48) 98811-2233;NF 4251;20/08/2026;7.250,00
Lanchonete do Zé;98765-4321;NF 4198;22/07/2026;280,00
Buffet Primavera;(20) 98765-4321;NF 4177;15/07/2026;1.150,00
Confeitaria Dolce;(11) 88765-4321;NF 4209;05/08/2026;390,00
Sorveteria Polo Norte;;NF 4212;06/08/2026;175,00
Pizzaria Forno à Lenha;a combinar;NF 4230;07/08/2026;820,00
Distribuidora Norte;(85) 99777-1122;NF 4260;a combinar;1.000,00
Padaria Vista Alegre ME;(21) 99614-2288;NF 4111;12/06/2026;0,00
Total geral;;;;22.437,40
