Extrato de conta corrente
Banco Exemplo S.A. - Agencia 0412 / Conta 88.311-0
Periodo: 01/07/2026 a 31/07/2026
Titular: PADARIA AURORA LTDA

Data;Histórico;Documento;Valor;Saldo
-;SALDO ANTERIOR;;0,00;0,00
02/07/2026;PIX RECEBIDO - MERCADO SAO JOAO;PIX448120;1.480,00;1.480,00
03/07/2026;TED RECEBIDA - CONSTRUTORA PONTE NOVA;TED990211;3.250,00;4.730,00
06/07/2026;CREDITO CARTAO - LOTE 3391;CTR33910;892,45;5.622,45
08/07/2026;TARIFA PACOTE DE SERVICOS;TAR000188;-89,90;5.532,55
09/07/2026;PIX RECEBIDO - BAR DO ZE;PIX448771;540,00;6.072,55
13/07/2026;CREDITO CARTAO - LOTE 3402;CTR34020;1.176,30;7.248,85
15/07/2026;DEB AUTOMATICO ENERGIA;DEB771200;-643,17;6.605,68
17/07/2026;PIX RECEBIDO - MERCADO SAO JOAO;PIX449903;2.000,00;8.605,68
22/07/2026;TED RECEBIDA - LOJA NOVA HORIZONTE;TED991044;760,00;9.365,68
28/07/2026;PIX RECEBIDO;PIX450221;315,00;9.680,68
31/07/2026;BOLETO LIQUIDADO - PADARIA CENTRAL;107;450,00;10.130,68
Total geral;;;10.130,68;
